Tm,G,MP,PER,USG%,Season
TOT,61,1578,13.6,22.5,2000
ORL,46,1205,14.4,23.3,2000
DEN,15,373,10.8,19.7,2000
VAN,82,3223,20.2,25.0,2000
DEN,29,329,8.8,18.0,2000
MIL,82,3070,20.6,25.6,2000
MIL,27,361,4.3,15.5,2000
ORL,80,1684,13.2,24.1,2000
LAC,64,2201,16.9,23.4,2000
BOS,82,2593,17.4,20.5,2000
SAC,72,2094,11.8,18.1,2000
HOU,82,2700,13.8,17.6,2000
CHI,73,1007,15.1,23.1,2000
POR,82,1548,13.0,16.4,2000
CHI,27,583,10.7,18.6,2000
ORL,82,2590,19.5,23.9,2000
ORL,82,1626,14.4,24.3,2000
POR,59,692,12.2,15.8,2000
WAS,59,1173,10.2,19.6,2000
LAC,49,377,5.5,15.8,2000
MIN,59,484,6.7,22.3,2000
PHO,46,449,10.8,18.9,2000
Tm,G,MP,PER,USG%,2000
SEA,79,2849,14.0,23.6,2000
HOU,20,620,19.8,22.3,2000
BOS,72,1139,15.1,20.4,2000
SEA,80,2726,14.6,14.9,2000
TOT,16,159,9.5,13.1,2000
GSW,8,85,10.1,12.3,2000
ATL,8,74,8.8,14.0,2000
SAC,62,1281,15.9,15.7,2000
BOS,82,1505,15.1,17.1,2000
IND,24,130,7.6,30.6,2000
CLE,3,8,5.5,16.3,2000
CHI,48,862,9.7,24.4,2000
LAC,1,3,-25.5,44.4,2000
IND,82,1691,16.5,20.2,2000
VAN,82,3155,16.7,20.0,2000
DEN,13,305,10.5,20.6,2000
GSW,73,2459,15.1,17.5,2000
PHO,38,446,9.0,13.0,2000
TOR,80,1731,12.5,11.6,2000
TOT,13,118,10.5,12.7,2000
NYK,2,5,7.8,35.6,2000
LAC,11,113,10.6,11.7,2000
WAS,11,143,11.9,18.0,2000
SEA,17,167,15.0,19.5,2000
Tm,G,MP,PER,USG%,2000
ATL,46,423,10.0,16.0,2000
TOT,69,878,6.7,12.1,2000
PHI,42,311,6.0,11.7,2000
MIA,27,567,7.1,12.2,2000
DEN,52,589,11.8,11.4,2000
PHI,11,20,13.3,8.5,2000
TOT,26,261,20.0,23.8,2000
ORL,1,8,44.0,21.0,2000
CLE,25,253,19.2,23.9,2000
DAL,77,1901,17.0,16.1,2000
CLE,8,61,-0.4,17.1,2000
CHI,81,2999,20.6,27.0,2000
MIN,71,2587,20.8,23.0,2000
TOT,63,1096,9.5,16.5,2000
SAS,30,602,10.0,16.7,2000
CHH,33,494,8.9,16.2,2000
TOR,38,673,11.8,20.0,2000
DET,6,45,1.1,17.5,2000
MIA,80,2302,15.3,17.1,2000
CHI,59,1625,7.3,16.2,2000
NYK,37,289,7.0,17.9,2000
LAL,66,2524,21.7,26.8,2000
CLE,75,1712,8.9,12.0,2000
DAL,48,923,12.1,14.2,2000
DET,58,657,8.2,11.5,2000
MIA,34,386,11.2,20.5,2000
Tm,G,MP,PER,USG%,2000
HOU,56,1024,11.9,16.7,2000
NJN,74,1336,14.2,16.0,2000
GSW,71,2159,12.4,19.4,2000
NJN,20,242,12.6,5.4,2000
NYK,59,1548,19.0,19.6,2000
CHH,78,2538,14.6,19.7,2000
VAN,21,221,7.5,16.3,2000
TOT,57,1166,10.8,26.1,2000
GSW,7,74,11.1,26.4,2000
CHI,50,1092,10.8,26.0,2000
MIA,79,1859,11.0,18.5,2000
TOR,82,3126,23.4,30.0,2000
MIL,81,2899,21.1,25.0,2000
HOU,65,1581,15.9,15.7,2000
MIA,25,185,14.1,16.1,2000
DAL,69,2064,18.1,26.4,2000
LAL,16,185,2.7,15.1,2000
PHO,53,957,9.4,18.1,2000
BOS,67,1309,6.7,10.9,2000
TOT,56,601,8.9,11.3,2000
